Old taxserial code,taxserial,COMNAME,GUI_MainTab,GUI_SubTab,GUI_HomeOrder,GUI_MainTabOrder,GUI_SubTabOrder,GUI_ItemOrder,GUI_DisplayName,species,Taxonomic_Level,Report_Group,Observation_Type,Depth_Min,Depth_Max,Region,Habitat_Preference,Likelihood,Max_Size,Record_Max,COMNAME0,species0
,172924,Curlfin Sole,Flatfish,Home,,5,1,12,Curlfin Sole,Pleuronichthys decurrens,species,Flat Fish,fish,18,350,AK-Baja,Mud/Sand,Uncommon,37,37,Curlfin turbot,Pleuronichthys decurrens
,172925,Spotted Turbot,Flatfish,Home,,5,1,13,Spotted Turbot,Pleuronichthys ritteri,species,Flat Fish,fish,0,50,CCA-Baja,Mud/Sand,Uncommon,30,30,Spotted turbot,Pleuronichthys ritteri
23,172859,UI flatfish,Flatfish,Home,,5,1,14,UI flatfish,Unidentified Pleuronectidae,family,Flat Fish,fish,,,,,,,,UI flatfish,Pleuronectidae
,172743,California Halibut,Flatfish,Home,,5,1,15,California Halibut,Paralichthys californicus,species,Flat Fish,fish,0,182,Can-Baja,Sand,Common,152,152,California halibut,Paralichthys californicus
,172932,Pacific Halibut,Flatfish,Home,,5,1,16,Pacific Halibut,Hippoglossus stenolepis,species,Flat Fish,fish,6,1200,AK-SCA,Mud/Sand,Uncommon,258,267,Pacific halibut,Hippoglossus stenolepis
,172862,Arrowtooth Flounder,,,,,,,Arrowtooth Flounder,Atheresthes stomias,species,Flat Fish,fish,18,950,AK-SCA,Mud/Sand,Uncommon,50,84,Arrowtooth flounder,Atheresthes stomias
,159819,Bluntnose Sixgill Shark,Cartilaginous,Home,,6,1,1,Bluntnose Sixgill Shark,Hexanchus griseus,species,Cartilaginous - Shark,fish,1,2500,AK-SCA,See specific species,Common,330,,Sixgill shark,Hexanchus griseus
,159988,Brown Cat Shark,Cartilaginous,Home,,6,1,2,Brown Cat Shark,Apristurus brunneus,species,Cartilaginous - Shark,fish,33,1306,Can-Baja,Mud/Sand,Uncommon,68,69,Brown cat shark,Apristurus brunneus
,159791,Horn Shark,Cartilaginous,Home,,6,1,3,Horn Shark,Heterodontus francisci,species,Cartilaginous - Shark,fish,2,150,CCA-SCA,Hard/Soft Mixed,Common,97,122,Horn shark,Heterodontus francisci
,160089,Swell Shark,Cartilaginous,Home,,6,1,4,Swell Shark,Cephaloscyllium ventriosum,species,Cartilaginous - Shark,fish,0,421,CCA-Baja,Rocky,Common,102,110,Swell shark,Cephaloscyllium ventriosum
,160617,Spiny Dogfish,Cartilaginous,Home,,6,1,5,Spiny Dogfish,Squalus acanthias,species,Cartilaginous - Shark,fish,0,1460,AK-Baja,Mud/Sand,Common,157,160,Spiny dogfish,Squalus acanthias
,160785,Pacific Angel Shark,Cartilaginous,Home,,6,1,6,Pacific Angel Shark,Squatina californica,species,Cartilaginous - Shark,fish,0,182,AK-SCA,Mud/Sand,Common,152,152,Pacific angel shark,Squatina californica
,160236,Brown Smoothhound,Cartilaginous,Home,,6,1,7,Brown Smoothhound,Mustelus henlei,species,Cartilaginous - Shark,fish,0,280,NCA-SCA,Hard/Soft Mixed,Common,94,100,Brown smoothhound shark,Mustelus henlei
,160235,Gray Smoothhound,Cartilaginous,Home,,6,1,8,Gray Smoothhound,Mustelus californicus,species,Cartilaginous - Shark,fish,0,200,NCA-Baja,Mud/Sand,Common,116,163,Gray smoothhound shark,Mustelus californicus
,25,UI shark,Cartilaginous,Home,,6,1,9,UI shark,Unidentified Elasmobranchii  (shark),class,Cartilaginous - Shark,fish,,,,,,,,UI shark,Unidentified shark
,160981,Bat Ray,Cartilaginous,Home,,6,1,10,Bat Ray,Myliobatis californica,species,Cartilaginous,fish,0,180,OR-Baja,Mud/Sand,Common,100,180,Bat ray,Myliobatis californica
,160848,Big Skate,Cartilaginous,Home,,6,1,11,Big Skate,Raja binoculata,species,Cartilaginous,fish,3,800,AK-Baja,Mud/Sand,Common,183,243,Big skate,Raja binoculata
,160851,Longnose Skate,Cartilaginous,Home,,6,1,12,Longnose Skate,Raja rhina,species,Cartilaginous,fish,9,1069,AK-Baja,Mud/Sand,Common,137,180,Longnose skate,Raja rhina
,160854,Starry Skate,Cartilaginous,Home,,6,1,13,Starry Skate,Raja stellulata,species,Cartilaginous,fish,18,732,AK-Baja,Mud/Sand,Uncommon,76,76,Starry skate,Raja stellulata
